question,retrieval_method,model,intent,intent_confidence,entities_players,entities_teams,entities_seasons,entities_positions,baseline_records_count,embedding_hits_count,fused_count,cypher_query,retrieval_errors,llm_answer,llm_latency_ms,llm_prompt_tokens,llm_completion_tokens,llm_total_tokens,llm_error
Who scored the most goals in the 2021-22 season?,Baseline Only,openai/gpt-5-nano,statistics_query,0.62,[],[],['2021-22'],[],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.goals_scored) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS goals_scored, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",,"The data provided doesn’t specify a season. Among the listed players, the highest goals are 23, achieved by Heung-Min Son and Mohamed Salah (tie).",9640,528,423,951,
Who scored the most goals in the 2021-22 season?,Baseline Only,google/gemini-2.0-flash-lite-001,statistics_query,0.62,[],[],['2021-22'],[],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.goals_scored) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS goals_scored, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",,"Mohamed Salah and Heung-Min Son scored the most goals with 23 goals each.
",2871,616,21,637,
Who scored the most goals in the 2021-22 season?,Baseline Only,meta-llama/llama-3.3-70b-instruct,statistics_query,0.62,[],[],['2021-22'],[],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.goals_scored) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS goals_scored, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",,Heung-Min Son and Mohamed Salah scored the most goals with 23 goals each.,1658,534,19,553,
Who scored the most goals in the 2021-22 season?,Hybrid (Baseline + BGE),openai/gpt-5-nano,statistics_query,0.62,[],[],['2021-22'],[],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.goals_scored) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS goals_scored, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",Embedding search skipped: no anchor player found.,Heung-Min Son and Mohamed Salah — tied for the most with 23 goals each in the provided data.,7647,528,412,940,
Who scored the most goals in the 2021-22 season?,Hybrid (Baseline + BGE),google/gemini-2.0-flash-lite-001,statistics_query,0.62,[],[],['2021-22'],[],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.goals_scored) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS goals_scored, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",Embedding search skipped: no anchor player found.,"Mohamed Salah and Heung-Min Son scored the most goals with 23 goals each in the 2021-22 season.
",933,616,32,648,
Who scored the most goals in the 2021-22 season?,Hybrid (Baseline + BGE),meta-llama/llama-3.3-70b-instruct,statistics_query,0.62,[],[],['2021-22'],[],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.goals_scored) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS goals_scored, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",Embedding search skipped: no anchor player found.,"According to the provided data, Heung-Min Son and Mohamed Salah scored the most goals with 23 goals each.",3015,534,25,559,
Who scored the most goals in the 2021-22 season?,Hybrid (Baseline + MPNet),openai/gpt-5-nano,statistics_query,0.62,[],[],['2021-22'],[],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.goals_scored) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS goals_scored, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",Embedding search skipped: no anchor player found.,"The provided data doesn’t specify the season. Among the baseline players, the most goals are 23, achieved by Heung-Min Son and Mohamed Salah (tie).",10966,528,487,1015,
Who scored the most goals in the 2021-22 season?,Hybrid (Baseline + MPNet),google/gemini-2.0-flash-lite-001,statistics_query,0.62,[],[],['2021-22'],[],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.goals_scored) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS goals_scored, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",Embedding search skipped: no anchor player found.,"Mohamed Salah and Heung-Min Son scored the most goals with 23 goals each.
",1399,616,21,637,
Who scored the most goals in the 2021-22 season?,Hybrid (Baseline + MPNet),meta-llama/llama-3.3-70b-instruct,statistics_query,0.62,[],[],['2021-22'],[],10,0,0,"
    MATCH (s:Season {season_name: $season})-[:HAS_GW]->(:Gameweek)-[:HAS_FIXTURE]->(f:Fixture)
    MATCH (p:Player)-[r:PLAYED_IN]->(f)
    OPTIONAL MATCH (p)-[:PLAYS_AS]->(pos:Position)
    WITH p, pos.name AS position, SUM(r.goals_scored) AS stat_value, SUM(r.total_points) AS total_points
    RETURN p.player_name AS player, position, stat_value AS goals_scored, total_points
    ORDER BY stat_value DESC
    LIMIT $limit
    ",Embedding search skipped: no anchor player found.,Heung-Min Son and Mohamed Salah scored the most goals with 23 goals each.,1711,534,19,553,
Who scored the most goals in the 2021-22 season?,Embeddings Only (BGE),openai/gpt-5-nano,statistics_query,0.62,[],[],['2021-22'],[],0,0,0,,Embedding search skipped: no anchor player found.,"I don’t have data in this context about the top scorer for the 2021-22 season. The provided knowledge graph sections are empty. If you specify the league (e.g., Premier League 2021-22) or share relevant data, I can answer.",5711,126,381,507,
